provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA;BORBO ;17;;8031;1.525,05 €;1958;68599
BARCELONA;BARCELONA;BORBO ;21;;8031;1.522,92 €;1958;68600
BARCELONA;BARCELONA;BORBO ;19;;8031;;;
BARCELONA;BARCELONA;BORBO ;33;;8031;1.597,60 €;1967;68601
BARCELONA;BARCELONA;BORBO ;15;;8031;1.405,22 €;1958;68602
BARCELONA;BARCELONA;BORBO ;25;;8031;5.273,89 €;1997;68603
BARCELONA;BARCELONA;BORBO ;31;;8031;1.577,64 €;1969;68604
BARCELONA;BARCELONA;PALMERES ;8;;8031;1.484,70 €;1971;68605
BARCELONA;BARCELONA;FABRA I PUIG ;313;;8031;1.600,49 €;1971;68606
BARCELONA;BARCELONA;FABRA I PUIG ;294;;8031;;;
BARCELONA;BARCELONA;MARAGALL ;354;;8031;1.851,01 €;2003;68607
BARCELONA;BARCELONA;MARAGALL ;260;;8031;1.843,91 €;1981;68608
BARCELONA;BARCELONA;MARAGALL ;258;;8031;743,64 €;1994;68609
BARCELONA;BARCELONA;MARAGALL ;328;;8031;1.708,15 €;1974;68610
BARCELONA;BARCELONA;MARAGALL ;300;;8031;1.458,51 €;1960;68611
BARCELONA;BARCELONA;MARAGALL ;272;;8031;2.869,10 €;1966;68612
BARCELONA;BARCELONA;MARAGALL ;350;;8031;1.530,51 €;1963;68613
BARCELONA;BARCELONA;MARAGALL ;316 B;;8031;1.466,49 €;1965;68614
BARCELONA;BARCELONA;MARAGALL ;334 B;;8031;686,37 €;1975;68615
BARCELONA;BARCELONA;PEIRA ;31;;8031;4.392,96 €;1994;68616
BARCELONA;BARCELONA;URRUTIA ;108;;8031;1.337,27 €;1961;68617
BARCELONA;BARCELONA;URRUTIA ;98;;8031;1.640,41 €;1965;68618
BARCELONA;BARCELONA;URRUTIA ;104;;8031;1.414,25 €;1961;68619
BARCELONA;BARCELONA;URRUTIA ;100;;8031;1.806,95 €;1965;68620
BARCELONA;BARCELONA;CASTELAO ;1;;8031;2.210,26 €;1989;68621
BARCELONA;BARCELONA;SANTA EULALIA ;14;;8031;504,89 €;2002;68622
